,ancestor,,ec80,"very: past: backward: time,when: man: love,compassion"
,Theudas,,eb71,"man: deceive,deception,false,lead_astray,lie: bad: no,not: true,truth: good: measure"
,Dionysius,,eb78,"man: fill: cup,drink"
,love, love compassion,e01a,
,hate, hate enmity,e01b,"love,compassion: no,not"
,kind_nice, kindness kind_nice,e01c,"love,compassion: good "
,mercy,,e01d,"love,compassion: bad: no,not: good: person"
,hungry,,e01e,"love,compassion: eat,food,meal: mouth,said,speak,confession: thing"
,grace,,e01f,"love,compassion: no,not: knife,cut"
,desire, like desire want will,e020,"love,compassion: heart"
,choose,,e021,"love,compassion: or"
,envy, envy covet,e022,"desire,like,want,will: love,compassion: heart: you: thing"
,trust,,e023,"love,compassion: true,truth: good: measure"
,friend,,e024,"person: love,compassion"
,enemy,,e025,"person: hate: friend: love,compassion: no,not"
,reconcile,,e026,"help: person: straight: love,compassion: friend"
,adultery,,e027,"love,compassion: bad: no,not: good: eye,see"
,abomination,,e0a4,"hate,enmity: love,compassion: no,not: thing"
,thirst, thirsty thirst,eccf,"Love,compassion: cup,drink"
,Urim,,e2cc,"Fire,heat,hot: choose: love,compassion: or"
,jealous,,e2fe,"Good: desire,like,want,will: love,compassion: heart"
,Reba,,e3c4,"Man: king,lord,ruler,master: bed,mattress: sleep,rest,lie_down: person: straight"
,Rekem,,e3c3,"Man: many,much; color"
,Philologus,,ebcf,"man: word: book,learn,read: small,few"
,Patrobas,,ebcc,man: walk
,Olympus,,ebcb,man: mountain
,Nereus,,ebca,"man: full: cup,drink"
,Narcius,,ebc9,man: flower
,Junia,,ebc8,"woman: young: small,few: time,when"
,Julia,,ebc7,"woman: crooked: no,not: straight: hair: face"
,Candace,,eb85,"woman: king,lord,ruler,master "
,Jonam,,ec9b,man: you: good
,Mattatha,,ec9c,"man: dry: no,not: water,wet: land,ground,earth,space"
,Mattathias,,ec9d,"man: bright: very: sun,day "
,Semien,,ec9e,man: very: have: hand: .
,magician,,ec8a,"man: eye,see: deceive,deception,false,lead_astray,lie: bad: no,not: true,truth: good: measure"
,Hebrew,,ec8f,"person: land,ground,earth,space: book,learn,read"
,Joel,,ec92,"man: land,ground,earth,space"
,Lucius,,ec93,"man: another,next: person: after: thing: forward,to: teach,teaching: mouth,said,speak,confession: book,learn,read "
,Pharaoh,,ec94,"man: slave: thing: person: land,ground,earth,space: king,lord,ruler,master"
,Timon,,ec96,"man: worth,value,worthy: good: money,wealth,wealthy"
,Asher,,ebde,"Man: happy,joy: face"
,Lot,,ebdc,"Man: gathered,together_things"
,Aenon,,eba1,"man: water,wet: go,travel,trip,journey"
,Ephraim_man,,eba3,Man: very: fruit
,king, lord king ruler master,e028,
,cross,,e038,
,know, knowledge know,e062,
,hand,,e071,
,work, work do,e08c,
,good,,e096,
,animal,,e102,
,thing,,e105,
,person,,e11f,
,land, ground earth land space,e153,
,sun, sun day,e15f,
,me, me I,e166,
,time, when time,e16a,
,house,,e171,
,no, not no,e17c,
,many, much many,e198,
,small, small few,e19b,
,face,,e203,
,man,,e000,
,boy,,e001,"small,few: man"
,boys,,e002,"small,few: man"
,father,,e003,"man: love,compassion"
,son,,e004,"small,few: man: love,compassion"
,sons,,e005,"small,few: man: love,compassion"
,brother,,e006,"man: love,compassion: small,few"
,brothers,,e007,"man: love,compassion: small,few"
,woman,,e008,
,girl,,e009,"woman: small,few"
,girls,,e00a,"woman: small,few"
,mother,,e00b,"woman: love,compassion"
,daughter,,e00c,"small,few: woman: love,compassion"
,daughters,,e00d,"small,few: woman: love,compassion"
,sister,,e00e,"woman: small,few: love,compassion"
,sisters,,e00f,"woman: small,few: love,compassion"
,marriage,,e010,"man: love,compassion: woman "
,wedding,,e011,"start,beginning: love,compassion: man: woman"
,husband,,e012,"man: love,compassion"
,groom,,e013,"start,beginning: man: love,compassion"
,wife,,e014,"love,compassion: woman"
,bride,,e015,"start,beginning: love,compassion: woman"
,widow,,e016,"love,compassion: no,not: woman"
,inheritance,,e017,"money,wealth,wealthy: small,few: man"
,heir,,e018,"money,wealth,wealthy: son,sons: small,few: man: love,compassion"
,generation,,e019,"big: small,few: man"
,Anna, Hannah Anna,eb02,"woman: no,not: knife,cut"
,Mary, Mary Mary_Mother_of_Jesus,e354,"woman: ocean,sea: big: water,wet"
,Rhoda,,eb92,woman: flower
,Annas,,eb63,"man: priest: cross: person: kill,destroy,destruction: knife,cut: person"
,Joshua,,eb03,man: help: straight: people
,Matthew, Matthias Matthew,eb04,"Man: gift: hand: love,compassion"
,Salathiel,,ec76,"man: because,purpose,reason,therefore: know,knowledge: ?"
,Serug,,ec78,"man: branch: tree,plant,wood"
,Seth,,ec79,"man: call,beckon: mouth,said,speak,confession: near,close"
,Shelah,,ec7a,"man: small,few: peace: sleep,rest,lie_down: person:  love,compassion"
,Shem,,ec7b,"man: name: mouth,said,speak,confession: me,I"
,Susanna,,ec7c,woman: good: flower
,Terah_man,,ec7d,man: goat: sheep: bone: soft
,Zacchaeus,,ec7e,"man: clean,pure: water,wet: good"
,Nahor,,ec6e,man: air
,Elisha, Elishah Elisha,ec5c,"man: power,can,ability: big: knife,cut"
,Gamaliel,,eb4d,"man: Bible,Scripture,Word_of_God: book,learn,read: cross"
,Miriam,,e385,"Woman: ocean,sea: big: water,wet"
,Judas,,eb6c,"man: praise,worship,exalt,dignify: mouth,said,speak,confession: good"
,Persis,,ebce,"woman: divide,division,separate,split"
,twin,,ec1b,"man: love,compassion: same,equal: small,few"
,Mattithiah,,e1c4,"Man: big: bed,mattress: sleep,rest,lie_down: person: straight"
,Matthat,,ed12,"man: thing: bring,carry,take: hand"
,Nicodemus,,ebab,"man: how: know,knowledge: questioned,ask: mouth,said,speak,confession: ?"
,mouth, mouth confession said speak,e03f,
,slow,,e19c,"small,few: forward,to"
